station,n_seen,n_used,use_rate,med_snr,med_station_vr,med_shift_s,med_abs_shift_s,med_amp_ratio,n_nodata,n_snr,n_amp,n_not_selected,n_fit,n_shift,n_abort,n_other,last_event
NZ.OXZ,101,20,0.2,1.6,48.2,1.0,1.0,0.91,0,44,0,3,15,17,2,0,2026-07-12
NZ.PAKZ,1,0,0.0,12.0,,,,1.48,0,0,0,1,0,0,0,0,2023-01-03
NZ.PKAZ,3,0,0.0,3.5,,,,1.68,0,0,0,1,1,1,0,0,2026-05-05
NZ.PKGZ,8,0,0.0,,,,,,8,0,0,0,0,0,0,0,2026-08-28
NZ.PKTZ,42,4,0.1,2.5,64.1,5.5,5.5,0.96,0,14,0,18,0,6,0,0,2026-09-05
NZ.PNUZ,12,2,0.17,1.8,70.4,3.0,3.0,1.0,0,3,0,6,0,1,0,0,2026-08-10
NZ.PREZ,7,0,0.0,1.5,,,,0.67,0,4,0,2,0,1,0,0,2026-09-05
NZ.PTAZ,4,0,0.0,2.3,,,,0.84,0,1,0,1,1,1,0,0,2026-05-05
NZ.PUZ,210,47,0.22,1.8,29.7,3.0,4.0,1.0,1,75,1,4,11,58,13,0,2026-08-28
NZ.PXZ,148,23,0.16,1.9,35.9,4.0,4.0,0.92,1,54,10,4,10,44,2,0,2026-09-04
NZ.PYZ,216,69,0.32,1.6,50.5,2.0,3.0,0.82,8,79,0,2,8,23,27,0,2026-09-04
NZ.QRZ,117,38,0.32,1.6,60.9,3.0,3.0,0.94,0,52,0,1,13,9,4,0,2026-09-04
NZ.RATZ,120,18,0.15,1.6,40.1,2.5,3.0,1.02,0,40,0,41,8,13,0,0,2026-09-05
NZ.RDHZ,51,4,0.08,1.3,37.3,1.0,2.5,0.9,0,28,1,1,11,6,0,0,2026-09-07
NZ.RPZ,98,40,0.41,2.0,52.1,2.0,2.5,1.04,0,25,0,5,20,7,1,0,2026-09-04
NZ.RTZ,164,49,0.3,2.0,29.2,4.0,4.0,1.0,5,43,0,15,17,35,0,0,2026-08-28
NZ.SLTZ,39,9,0.23,1.4,68.8,2.0,2.0,1.12,1,20,0,6,1,2,0,0,2026-09-07
NZ.SMRZ,17,4,0.24,1.2,55.1,1.5,1.5,0.89,0,11,0,1,1,0,0,0,2026-09-04
NZ.SYZ,114,41,0.36,1.6,50.8,2.0,3.0,1.06,0,55,0,0,5,12,1,0,2026-09-04
NZ.TGRZ,47,10,0.21,3.1,34.2,5.5,5.5,0.82,0,13,0,9,9,6,0,0,2026-08-11
NZ.THZ,155,54,0.35,1.8,53.5,2.0,2.0,1.0,0,65,1,0,27,8,0,0,2026-09-04
NZ.TKGZ,33,7,0.21,1.8,36.5,3.0,3.0,0.95,0,12,0,1,3,10,0,0,2026-08-28
NZ.TLZ,83,17,0.2,1.9,48.9,3.0,3.0,1.0,0,22,5,21,13,5,0,0,2026-09-05
NZ.TMVZ,125,13,0.1,1.5,30.9,2.0,2.0,1.04,1,44,0,41,10,16,0,0,2026-09-05
NZ.TOZ,62,21,0.34,3.1,66.6,2.0,2.0,1.02,0,21,0,8,7,5,0,0,2026-08-11
NZ.TRVZ,128,17,0.13,1.5,33.6,3.0,3.0,1.01,0,46,0,40,9,15,1,0,2026-09-05
NZ.TSZ,165,52,0.32,1.9,44.0,3.0,3.0,0.88,0,52,0,15,20,25,1,0,2026-09-04
NZ.TTTZ,1,1,1.0,6.9,60.2,1.0,1.0,1.36,0,0,0,0,0,0,0,0,2026-05-05
NZ.TUZ,86,25,0.29,1.2,54.1,2.0,2.0,1.14,0,50,0,0,9,2,0,0,2026-09-04
NZ.TWGZ,8,2,0.25,1.9,66.8,2.0,2.0,1.34,0,2,1,0,2,1,0,0,2026-08-28
NZ.TWVZ,35,2,0.06,1.5,3.9,7.0,7.0,1.11,0,10,1,18,1,3,0,0,2026-09-05
NZ.UPKZ,12,0,0.0,2.5,,,,1.14,0,5,0,4,0,3,0,0,2026-09-04
NZ.URZ,173,80,0.46,3.5,50.2,2.0,3.0,0.98,0,37,0,9,15,30,2,0,2026-08-28
NZ.UTU,38,4,0.11,1.7,34.5,-1.0,4.0,1.04,1,14,0,14,1,4,0,0,2026-08-11
NZ.VRZ,104,15,0.14,1.8,52.8,3.0,3.0,1.06,9,41,0,17,4,18,0,0,2026-09-05
NZ.WATZ,43,3,0.07,1.6,29.5,5.0,5.0,0.99,0,17,0,22,0,1,0,0,2026-09-05
NZ.WAZ,152,33,0.22,1.8,44.0,5.0,5.0,0.99,1,56,0,18,11,31,2,0,2026-09-05
NZ.WCZ,4,0,0.0,7.2,,,,1.43,0,1,0,2,0,1,0,0,2026-05-05
NZ.WEL,174,38,0.22,1.4,27.8,3.0,3.0,0.8,1,67,0,6,17,40,5,0,2026-09-04
NZ.WHSZ,92,17,0.18,1.4,31.5,2.0,2.0,0.86,2,42,0,8,14,9,0,0,2026-09-04
NZ.WHTZ,43,2,0.05,1.6,21.4,2.5,4.5,1.04,5,16,1,17,0,2,0,0,2026-08-11
NZ.WHVZ,125,19,0.15,2.0,50.1,3.0,3.0,1.03,1,36,0,40,10,19,0,0,2026-09-05
NZ.WHZ,216,88,0.41,1.5,49.5,3.0,4.0,1.02,0,90,0,0,14,13,11,0,2026-09-07
NZ.WIAZ,17,6,0.35,4.1,49.5,2.5,3.0,0.99,0,3,0,1,5,2,0,0,2026-08-10
NZ.WIZ,80,7,0.09,1.6,13.5,7.0,10.0,1.29,56,10,0,0,3,4,0,0,2023-11-07
NZ.WKZ,141,50,0.35,1.4,60.9,2.0,2.0,1.04,0,73,2,0,9,5,2,0,2026-09-07
NZ.WLCZ,75,22,0.29,2.0,61.5,3.0,3.0,0.76,8,16,0,3,7,18,1,0,2026-09-04
NZ.WLRZ,19,4,0.21,2.9,68.2,3.0,3.0,0.95,0,5,0,4,0,6,0,0,2026-09-05
NZ.WMVZ,46,5,0.11,1.4,58.4,1.0,1.0,1.0,0,17,0,3,3,16,2,0,2026-09-04
NZ.WRRZ,98,19,0.19,1.6,32.9,5.0,5.0,0.92,0,34,0,2,9,33,1,0,2026-09-04
NZ.WSRZ,80,0,0.0,,,,,,80,0,0,0,0,0,0,0,2023-11-07
NZ.WTAZ,14,4,0.29,5.7,78.6,3.0,3.0,1.5,0,3,0,5,2,0,0,0,2026-07-24
NZ.WTVZ,53,6,0.11,1.6,31.8,2.5,2.5,1.17,1,17,1,25,1,2,0,0,2026-09-05
NZ.WVZ,91,20,0.22,1.8,55.8,2.0,3.0,0.8,0,37,0,7,20,7,0,0,2026-09-04
